Comment,score,time_data
这个课程最不一样的就是，这不愧是北京理工大学教PYTHON 的讲师。每节课程本身都有强烈的新鲜感 做到这点是需要花费很多心思的，感谢讲师。,5,2018-03-15
作为其他专业的~刚开始学还是有点吃力的~同时听三个老师的课，哈哈，入门后应该就好了,5,2018-01-17
我非计算机专业，只是喜欢和爱好，基本的软件都还不全会，当看课件最担心上来就是密集的、使人昏昏欲睡的操作课。但听了老师的讲解后发现多虑了，表达轻松、简洁、除了操作以外还顺便带有一些基础原理部分，非常好。任何技巧都建立在理念的基础上，听过以后感觉自己的一些思路打开了许多！先建立起理念和意识是最重要的，对我来说有收获，不错,5,2018-03-15
国家精品课程？？？怎么评上的？？？ 除了第一个男老师讲得稍微生动外，其余两个女老师就是读课件。强烈不推荐，不怕浪费时间就来选这门课。 估计给五分的不是脑子坏掉了就是北理工的托。,1,2018-02-07
这位老师讲的生动有趣引人入胜，真的相当不错。讲解的有概念这点非常重要，很容易帮助学者理解。大赞。,5,2018-03-15
哇！说真的， 我们学校的老师要是这么讲课 ，我早就学会了。 清晰透彻 ，光一个摄氏度与华氏度的转换， 都能这么详细的比喻讲解， 这个老师真的好认真， 好棒~,5,2018-03-14
老师讲的确实挺好， 公道一点说，讲的很细致很透彻。 而且我听的很清楚， 没有方言口音，那是我最不能接受的。 重点还在于学习之后的练习。PYTHON这门语言我一直想学， 这次有这么好的公开课了，我学习就更方便了。,4,2018-03-14
快速练习自己的学习成果，在python123.io 注册账号，进行习题训练，是个简单实用的好办法！点赞～,5,2018-03-15
嵩天老师的课是性价比最高的课程。不仅如此，在教授的过程中充分体现了嵩天老师的职业素养和专业水平。认真负责，就如同在学校的课堂上上课。是最值得信赖推荐给大家的好课程！谢谢嵩天老师！,5,2018-03-15
不知道为什么会有那么多低评，编程课程本来就是老师讲解知识基本框架和语句，python不像C类语言那么复杂，python简化了很多编程的过程所要处理的事情。学习编程本应该就是自己多练习，多读代码，自己去理解每个实例代码，这些不应该是老师来手把手带你读的。,5,2018-03-14
老师讲的太详细了， 听了以后茅舍顿开，我决定要按老师说的 ， 预备25 个小时，实现我的 编程能力。 做好功课！ 谢谢老师·,5,2018-03-14
我有一个小想法：在教授这类编程语言的课程的时候。教课视频可否不要沦为课件.PDF的MP4版。不要花那么多的精力宣读一些概念。 请老师在视频里多录一些敲代码的过程、故意敲错一些代码、引导学生识别编译器给出的错误信息、以及如何快速定位修正。 我学编程遇到的最大问题就是照抄都能抄错，然后还不明所以，找半天找不出来哪错了。 当然了，课件都是精华，清晰指出了Python的一些特性，如果我能熟练掌握Python的一些常用语法及基础特性，这些课件就变得非常有用了。,3,2018-02-21
课程组织分明，由浅入深，是python新手值得看的一门基础课程。只是部分视频上传不完整，或者没有语音，有点瑕疵。,5,2018-03-14
黄天羽老师讲课完全是在应付，代码讲解遗漏好多重要的细节，导致听课时必须暂停，自己去查询某些语句的作用，完全没考虑听课学生的接受程度，希望以后能够改正,3,2018-02-08
老师好。我按照你说的方法尝试了一下。每天写一边学习一边做练习题，对我来说很棒。三天下来感觉很棒。学过的东西立刻掌握， 不会忘记，真的非常好。,5,2018-03-15
喜欢老师讲的课，让我这个医学生也能学会,5,2018-03-13
制定了学习计划，我每天学习一部分，不贪多，边学习边做习题，一次一个习题，经过实践，我深有同感！如果……就及假想试着操作！,5,2018-03-15
讲的很好，节奏很合适，以前大学上C语言课程的枯燥感几乎没有了，让人愿意主动去学，去思考。,5,2018-03-15
老师非常认真，讲的都是要点，一点也不对付，给老师点赞！专业加敬业，棒棒哒！,5,2018-03-15
喜欢老师的讲课， 清晰透明， 一说就懂， 我还需要更多的时间和耐心详细学习。,5,2018-03-14
课程很棒，很期待后续python应用的其他课程,5,2018-03-06
嵩老师讲的太好了！真的太好了！思路清晰，剖析清楚，道理浅显易懂，还非常非常的实用！很多技巧，直接拿过来就能用！还有，简直刷新三观，如梦初醒！非常好的一套好课程，真诚推荐给大家！,5,2018-03-15
连续听了几天课 感觉收获很大 点出了没有学好Python 的全部问题 继续听课 调整思路 提高认识 学好Python,5,2018-03-15
讲得内容很多也很实用，非常好的课程，非常庆幸活动。做习题也很快能掌握课堂内容，不错不错,5,2018-03-15
很受益，感谢老师，现在就是在练习题的地方 处理不好，努力练习起来！,5,2018-03-15
请问有教学微信群吗？,5,2018-03-15
感觉以前都白学了，哈哈，不过正好属于归零心态，更容易接受老师所讲所分析的。真的是浅显易懂。希望18年里Python 能真正捡起来用起来。加油加油！,5,2018-03-15
真是太牛了！这课听得上瘾,5,2018-03-15
第一节课就提供了满满的干货啊，谢谢阿何！ 物超所值！总结出了一套有体系化的规律！！正在学习，每节课都是满满的干货，简直是物超所值，感谢老师！,5,2018-03-15
课程很好，值得学习，但希望课程中涉及到的实操素材可以提供，方便练习。尤其是 Pyyhon123.io 中的习题部分。,5,2018-03-15
听了几节课，感觉收获满满！！,5,2018-03-15
课程短小精悍,5,2018-03-15
沙发，喜欢，加油，等更新,5,2018-03-15
很好很好的,5,2018-03-14
"不错,非常适合我这样的小白",5,2018-03-14
python无敌啊,5,2018-03-13
